Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart GOAT Sale in 2024! 67,2024-10-31 0:04:55,GOAT Sale,2024,8368059.69,Beauty,18.83,40235,7642,2,Instagram,4940000,1.1,61.39,2.14,397083,Credit Card,10.2,3.88,Laptop
Flipkart Clearance Sale in 2021! 68,2021-07-20 8:44:23,Clearance Sale,2021,6762975.43,Home,41.65,21526,2547,1,Flipkart App,3076000,2.12,47.09,3.7,762754,UPI,5.4,3.73,Shoes
Flipkart Big Billion Days Sale in 2022! 69,2022-09-17 15:52:41,Big Billion Days Sale,2022,7149089.36,Groceries,33.87,31416,5903,7,Facebook,6456000,3.11,10.17,0.7,446129,Wallet,12.3,3.69,Toys
Flipkart GOAT Sale in 2024! 70,2024-04-06 13:47:30,GOAT Sale,2024,5403674.73,Sports,57.45,18067,3393,5,Email,2566000,4.52,70.97,4.34,712933,Credit Card,12.37,4.02,Perfume
Flipkart Winter Sale in 2024! 71,2024-12-12 6:04:17,Winter Sale,2024,7397055.19,Beauty,29.34,2539,9356,6,Email,596000,2.28,21.93,1.04,770971,Debit Card,5.71,4.29,Toys
Flipkart Big Billion Days Sale in 2020! 72,2020-09-16 12:59:35,Big Billion Days Sale,2020,4101479.71,Toys,34,24524,8813,4,Facebook,2016000,3.93,17,2.55,861706,Debit Card,4.18,4.78,Shoes
Flipkart Summer Sale in 2023! 73,2023-02-15 21:03:45,Summer Sale,2023,4074413.97,Sports,24.85,25996,3793,2,Twitter,1075000,0.93,10.56,3.19,526182,Cash on Delivery,2.07,4.89,Laptop
Flipkart Summer Sale in 2022! 74,2022-09-22 12:22:32,Summer Sale,2022,6876245.61,Toys,68.09,25026,2318,2,Facebook,6741000,2.27,75.95,2.72,149982,Credit Card,9.89,2.83,Laptop
Flipkart Flash Sale in 2020! 75,2020-10-27 17:29:32,Flash Sale,2020,8794191.66,Toys,21.66,4117,5758,7,Email,6485000,4.41,14.35,3,469309,Credit Card,3.59,4.08,Shoes
Flipkart Festive Sale in 2024! 76,2024-10-26 10:53:50,Festive Sale,2024,4556996.42,Books,63.15,12206,726,2,Facebook,6918000,1.09,50.26,1.43,626637,Credit Card,9.87,4.02,Shoes
Flipkart Deal of the Day in 2024! 77,2024-09-16 5:08:07,Deal of the Day,2024,6231353.01,Books,53.02,35833,1613,6,Twitter,641000,2.92,52.1,0.9,762914,Wallet,5.86,4.12,Toys
Flipkart Winter Sale in 2023! 78,2023-02-19 22:40:48,Winter Sale,2023,1308533.37,Toys,59.15,32196,5394,2,Facebook,1932000,0.36,49.11,4.5,596626,Cash on Delivery,1.08,4.32,Books
Flipkart Flash Sale in 2023! 79,2023-10-18 10:00:31,Flash Sale,2023,3810739.53,Groceries,35.37,43425,9641,2,Instagram,5906000,2.7,14.83,3.67,703703,Cash on Delivery,4.45,3.51,Toys
Flipkart Big Billion Days Sale in 2020! 80,2020-01-21 7:40:01,Big Billion Days Sale,2020,3922224.65,Groceries,6.98,13713,5454,1,Twitter,7933000,2.56,28.2,3.12,779544,UPI,3.25,4.25,Toys
Flipkart Big Billion Days Sale in 2024! 81,2024-03-17 16:47:19,Big Billion Days Sale,2024,5522509.8,Electronics,61.65,47974,6589,5,Instagram,8254000,3.62,51.98,1.49,738747,Cash on Delivery,12.58,3.34,Toys
Flipkart Big Billion Days Sale in 2025! 82,2025-07-29 12:49:36,Big Billion Days Sale,2025,6464715.32,Beauty,11.32,18960,1242,2,Facebook,5070000,1.7,74.44,4.58,317167,Wallet,5.79,4.02,Toys
Flipkart Summer Sale in 2024! 83,2024-12-11 13:56:23,Summer Sale,2024,6247318.39,Home,16.08,4433,4317,7,Twitter,8652000,0.47,13.86,4.74,148626,UPI,11.88,4.4,Smartphone
Flipkart Winter Sale in 2024! 84,2024-02-27 9:37:48,Winter Sale,2024,6427515.98,Books,30.54,43675,6180,2,Facebook,5704000,0.17,20.6,0.51,572477,Credit Card,13.05,3.25,Smartphone
Flipkart Festive Sale in 2022! 85,2022-12-13 7:22:05,Festive Sale,2022,2247276.41,Sports,10.63,37725,3914,6,Facebook,3710000,3.16,72.46,0.66,655373,Credit Card,3.76,4.79,Washing Machine
Flipkart Deal of the Day in 2025! 86,2025-05-07 22:45:21,Deal of the Day,2025,1830409.28,Electronics,36.62,33275,8788,4,Email,2125000,0.77,10.43,2.26,804710,Wallet,14.41,3.34,Laptop
Flipkart Big Billion Days Sale in 2024! 87,2024-02-28 10:07:10,Big Billion Days Sale,2024,8818292.35,Electronics,49.3,21605,5146,6,Flipkart App,3300000,2.9,20.19,0.51,687114,Debit Card,3.68,5,Headphones
Flipkart Deal of the Day in 2021! 88,2021-05-20 9:37:32,Deal of the Day,2021,9825640.25,Electronics,13.48,43806,4765,2,Email,3733000,0.92,20.84,2.58,691111,UPI,4.12,4.95,Smartphone
Flipkart Summer Sale in 2025! 89,2025-12-13 22:14:49,Summer Sale,2025,1207176.46,Toys,21.57,49525,5734,4,Facebook,1077000,2.7,77.14,1.05,702679,Wallet,11.3,2.78,Perfume
Flipkart Winter Sale in 2020! 90,2020-10-09 0:17:13,Winter Sale,2020,9007558.42,Groceries,9.05,7532,4034,4,Flipkart App,2408000,0.33,64.07,4.16,183425,Credit Card,3.43,3.43,Smartphone
Flipkart Flash Sale in 2022! 91,2022-06-28 9:25:37,Flash Sale,2022,4631971.29,Books,38.54,36636,946,7,Instagram,3396000,4.27,51.61,0.73,29473,Wallet,5.25,4.34,Shoes
Flipkart Big Billion Days Sale in 2023! 92,2023-11-30 16:50:50,Big Billion Days Sale,2023,9719472.43,Toys,39.7,41556,2394,7,Twitter,5751000,4.02,54.66,4.3,431485,UPI,9.12,4.22,Laptop
Flipkart Flash Sale in 2023! 93,2023-03-30 15:16:01,Flash Sale,2023,1471152.64,Fashion,68.13,27791,5652,3,Facebook,5381000,1.65,51.37,3.25,679287,Debit Card,1.12,4.54,Books
Flipkart Flash Sale in 2022! 94,2022-12-06 17:16:00,Flash Sale,2022,3163875.03,Fashion,33.31,2868,7883,4,Instagram,4355000,1.18,12.05,3.99,189479,Cash on Delivery,2.17,4.47,Smartphone
Flipkart Deal of the Day in 2020! 95,2020-03-04 9:04:51,Deal of the Day,2020,6299108.04,Fashion,66.55,44274,2406,4,Instagram,6616000,3.99,45.88,2.11,549018,Debit Card,2.74,4.76,Smartphone
Flipkart Deal of the Day in 2023! 96,2023-11-29 1:31:18,Deal of the Day,2023,6109312.32,Books,43.39,1515,2738,5,Instagram,7632000,2.7,37.32,4.4,570679,Credit Card,3.78,4.8,Books
Flipkart Clearance Sale in 2022! 97,2022-03-16 22:06:38,Clearance Sale,2022,2131230.03,Toys,69.71,20222,4082,5,Facebook,4583000,0.32,67.65,3.55,961872,Cash on Delivery,14.22,4.45,Shoes
Flipkart GOAT Sale in 2025! 98,2025-09-29 17:16:36,GOAT Sale,2025,4388057.36,Home,58.45,16826,7131,5,Twitter,8247000,3.24,71.92,4.38,450609,Credit Card,11.3,4.62,Washing Machine
Flipkart Summer Sale in 2020! 99,2020-06-09 10:59:13,Summer Sale,2020,9899940.95,Sports,20.15,35974,4389,5,Twitter,2971000,0.36,24.15,3.71,162627,Debit Card,4.15,3.79,Toys
Flipkart Deal of the Day in 2021! 100,2021-06-10 12:15:43,Deal of the Day,2021,7478017.78,Sports,31.87,38282,5462,7,Flipkart App,8520000,4.03,70.37,0.71,483495,Cash on Delivery,7.34,4.93,Books
Flipkart Monsoon Sale in 2023! 101,2023-03-10 4:14:03,Monsoon Sale,2023,1763777.59,Fashion,13.59,29963,4236,5,Instagram,6041000,1.34,67.87,1.68,17314,Debit Card,3.91,4.46,Headphones
Flipkart Monsoon Sale in 2023! 102,2023-09-09 3:23:51,Monsoon Sale,2023,7747650.96,Sports,10.86,30963,131,4,Flipkart App,9586000,0.24,67.24,2.13,131627,Cash on Delivery,3.03,4.92,Washing Machine
Flipkart GOAT Sale in 2022! 103,2022-10-07 4:47:01,GOAT Sale,2022,6402808.01,Sports,37.66,9122,1324,2,Facebook,2049000,3.96,16.46,5,866826,UPI,8.17,4.57,Perfume
Flipkart Big Billion Days Sale in 2020! 104,2020-08-08 17:24:13,Big Billion Days Sale,2020,672934.43,Home,18.85,4300,9080,3,Instagram,3569000,1.26,51.11,4.22,25545,Wallet,7.76,3.1,Toys
Flipkart GOAT Sale in 2020! 105,2020-02-03 19:36:53,GOAT Sale,2020,3686776.27,Toys,58.89,34626,336,6,Twitter,2539000,1.9,53.07,2.95,545232,Debit Card,4.01,4.7,Perfume
Flipkart Big Billion Days Sale in 2023! 106,2023-05-09 15:16:02,Big Billion Days Sale,2023,735875.51,Groceries,13.77,23670,910,7,Facebook,5964000,3.58,53.84,1.51,770114,Wallet,9.14,3.36,Washing Machine
Flipkart Clearance Sale in 2021! 107,2021-10-13 8:35:26,Clearance Sale,2021,3111872.17,Books,29.04,8092,5430,7,Instagram,7554000,3.44,25.9,1.98,155611,Credit Card,13.4,2.73,Headphones
Flipkart Clearance Sale in 2022! 108,2022-06-07 6:02:15,Clearance Sale,2022,6289555.55,Beauty,29.85,35429,9534,5,Facebook,603000,0.46,42.41,3.02,331740,Cash on Delivery,2.84,4.2,Toys
Flipkart Big Billion Days Sale in 2023! 109,2023-12-11 11:56:26,Big Billion Days Sale,2023,9062170.11,Fashion,5.89,24394,6700,2,Flipkart App,9443000,2.92,49.92,2.24,711814,Cash on Delivery,11.92,4.69,Perfume
Flipkart Clearance Sale in 2020! 110,2020-07-03 8:09:28,Clearance Sale,2020,8360532.79,Sports,42.4,35476,9318,3,Instagram,1369000,4.62,24.25,3.23,608206,Wallet,7.18,2.56,Washing Machine
Flipkart GOAT Sale in 2020! 111,2020-06-14 14:07:19,GOAT Sale,2020,9602914.46,Sports,47.43,8803,9076,1,Instagram,5262000,0.79,25.17,0.66,472922,UPI,6.42,2.72,Books
Flipkart Summer Sale in 2022! 112,2022-02-10 4:59:42,Summer Sale,2022,2050055.5,Home,45.75,36159,8815,4,Instagram,2414000,2.35,37.23,2.34,633783,Debit Card,11.52,2.86,Laptop
Flipkart GOAT Sale in 2021! 113,2021-12-28 18:05:39,GOAT Sale,2021,7431454.03,Sports,44.17,47281,5572,6,Email,8188000,0.82,60.76,1.44,799743,UPI,3.91,2.95,Laptop
Flipkart Deal of the Day in 2024! 114,2024-04-28 23:08:35,Deal of the Day,2024,6277989.55,Sports,23.05,30964,5955,5,Flipkart App,6563000,2.82,28.07,3.92,254249,Cash on Delivery,5.82,3.58,Headphones
Flipkart Monsoon Sale in 2022! 115,2022-08-07 3:52:41,Monsoon Sale,2022,3720699.43,Fashion,7.16,48925,8130,2,Flipkart App,4966000,3.84,38.5,4.82,602777,UPI,4.4,2.7,Washing Machine
Flipkart Summer Sale in 2020! 116,2020-03-28 4:13:37,Summer Sale,2020,7015939,Books,26.17,33195,5691,7,Twitter,4160000,3.59,14.54,1.17,418496,Credit Card,6.86,4.86,Washing Machine
Flipkart Flash Sale in 2024! 117,2024-07-18 11:18:56,Flash Sale,2024,5538473.03,Beauty,20,40758,762,1,Instagram,2278000,1.81,72.49,0.84,970158,Cash on Delivery,8.71,4.42,Headphones
Flipkart Festive Sale in 2025! 118,2025-11-22 23:07:54,Festive Sale,2025,4545317.54,Sports,51.59,21730,2478,4,Facebook,1790000,1.43,15.64,1.43,983457,Credit Card,13.38,3.87,Shoes
Flipkart Monsoon Sale in 2022! 119,2022-04-23 21:19:15,Monsoon Sale,2022,7391717.7,Sports,36.58,5166,6129,2,Twitter,4750000,4.1,44.24,3.31,668522,UPI,4.94,4.6,Shoes
Flipkart Flash Sale in 2020! 120,2020-07-07 23:28:06,Flash Sale,2020,1641014.02,Beauty,42.24,7439,8152,5,Facebook,3588000,2.78,77.08,3.34,58908,Debit Card,8.08,4.33,Smartphone
Flipkart Flash Sale in 2021! 121,2021-05-16 23:18:24,Flash Sale,2021,2049533.91,Fashion,48.68,19059,9485,2,Flipkart App,4701000,0.84,73.78,4.54,346911,Credit Card,10.38,3.27,Headphones
Flipkart Summer Sale in 2021! 122,2021-04-04 20:04:49,Summer Sale,2021,8733129.92,Toys,32.8,43522,1898,6,Flipkart App,8715000,2.29,38.49,1.63,304392,Debit Card,11.67,4.53,Headphones
Flipkart Flash Sale in 2023! 123,2023-08-26 10:22:41,Flash Sale,2023,5257021.56,Toys,5.19,3117,6276,1,Facebook,9999000,3.98,71.51,3.33,954401,Credit Card,7.4,4.91,Shoes
Flipkart Winter Sale in 2022! 124,2022-02-20 11:48:23,Winter Sale,2022,3944281.05,Toys,41.44,1311,4640,5,Email,8592000,2.01,63.04,4.06,916754,Credit Card,6.17,2.6,Headphones
