Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart GOAT Sale in 2022,2022-11-09,Clearance Sale,2022,3129638.67,fashon,,unknown,3688,7,Whatsapp,1390000,2.44,64.64,2.2,484889,Credit card,11.52,4.22,Headphones
Flipkart Festive Sale in 2023,14/09/2023,Flash Sale,2023,6113085.79,Fashion,,unknown,5873,4,flipkart,808000,1.73,78.71,4.46,406528,Cash on Delivery,10.53,4.79,Smartphone
Flipkart Winter Sale in 2022,17/04/2022,Summer Sale,2022,9118803.6,Home,35.64,unknown,4711,4,flipkart,4751000,4.67,15.16,1.1,438180,Debit Card,,3.33,Toys
Flipkart GOAT Sale in 2021,28/04/2021,Summer Sale,2021,3948057.02,Sports,,unknown,7713,1,Facebook,7472000,0.83,39.77,4.64,661945,Cash on Delivery,3.1,4.55,Smartphone
Flipkart Big Billion Days Sale in 2024,09/10/2024,No Cost EMI Sale,2024,9907064.22,Toys,43.99,4158,3317,1,Email,3254000,3.78,37.76,3.04,292299,Credit Card,3.4,3.46,Laptop
Flipkart Festive Sale in 2024,16/12/2024,Monsoon Sale,2024,7524150.23,Toys,N/A,unknown,6187,5,Whatsapp,4736000,1.65,73.24,2.3,715781,Cash on Delivery,5.7,2.6,Shoes
Flipkart No Cost EMI Sale in 2022,16/04/2022,Summer Sale,2022,5809521.59,Electronics,,unknown,7279,2,Flipkart App,8569000,0.76,77.54,4.24,44133,Debit Card,6.39,3.19,Shoes
Flipkart Festive Sale in 2025,22/06/2025,Summer Sale,2025,1555787.29,fashon,N/A,unknown,6873,1,FACEBOOK,3519000,4.32,53.85,3.62,551863,Credit Card,10.54,4.39,Toyz
Flipkart No Cost EMI Sale in 2023,01/02/2023,Clearance Sale,2023,4640039.08,Electronics,N/A,unknown,2748,3,Email,8668000,3.95,64.67,2.64,521640,Credit Card,5.52,2.87,Washing Machine
Flipkart Deal of the Day in 2022,15/01/2022,Flash Sale,2022,6434281.85,fashon,,44942,7976,2,Whatsapp,9055000,2.92,25.29,3.56,123355,Debit Card,11.08,3.96,Washing Machine
Flipkart Flash Sale in 2021,17/02/2021,Deal of the Day,2021,3921293.65,Fashion,,unknown,7773,5,Whatsapp,3963000,0.17,57.12,3.62,870390,paytm,9,4.93,Laptop
Flipkart Monsoon Sale in 2024,24/08/2024,Winter Sale,2024,7362163.52,fashon,N/A,29091,6112,3,Twitter,9986000,1.48,61.26,4.33,443011,Credit card,3.14,3.17,Shoes
Flipkart Monsoon Sale in 2021,04/12/2021,Clearance Sale,2021,3787093.13,Electronics,,45780,7536,4,flipkart,4644000,4.68,10.07,4.39,154983,paytm,4.44,2.78,Toyz
Flipkart Winter Sale in 2023,29/04/2023,Big Billion Days Sale,2023,3478782.74,fashon,,17515,3430,7,Twitter,6788000,1.08,23.14,1.98,168280,Debit Card,3.64,2.73,Shoes
Flipkart Monsoon Sale in 2021,06/05/2021,Big Billion Days Sale,2021,2126311.5,Electronics,,unknown,1534,1,Twitter,8087000,1.04,58.8,1.5,102095,paytm,3.72,4.77,Toyz
Flipkart Deal of the Day in 2024,27/09/2024,Winter Sale,2024,6205863.44,fashon,,unknown,2959,3,flipkart,6159000,2.44,70.09,2.07,163719,COD,8.37,,Perfume
Flipkart Summer Sale in 2024,28/01/2024,Big Billion Days Sale,2024,7247722.63,Beauty,52.83,5669,3379,7,Whatsapp,7722000,2.08,21.56,2.51,355772,paytm,10.8,4.42,Toyz
Flipkart Clearance Sale in 2022,31/07/2022,Festive Sale,2022,9515413.07,Electronics,,unknown,241,2,FACEBOOK,2785000,1.51,30.85,0.9,233552,UPI,11.27,,Headphones
Flipkart No Cost EMI Sale in 2023,11/12/2023,Monsoon Sale,2023,6589002.21,fashon,N/A,29948,2891,6,FACEBOOK,9738000,2.56,53.76,4.17,726563,Credit card,1.59,2.56,Shoes
Flipkart Summer Sale in 2024,15/04/2024,Summer Sale,2024,5861964.7,Sports,,unknown,9194,2,Instagram,5949000,0.2,21.48,3.84,29687,,9.74,4.24,smrtphone
Flipkart Festive Sale in 2020,18/03/2020,GOAT Sale,2020,310294.34,,,17557,6609,6,Whatsapp,4585000,1,21.37,3.91,293001,Credit card,1.28,3.63,Headphones
Flipkart GOAT Sale in 2025,12/10/2025,Clearance Sale,2025,7670890.25,Beauty,N/A,unknown,1867,2,Email,8648000,3.48,43.41,4.65,274227,Cash on Delivery,4.81,3.33,Washing Machine
Flipkart Winter Sale in 2025,2025-01-05,Deal of the Day,2025,2464057.6,Beauty,,unknown,2216,3,flipkart,741000,4.82,45.27,1.23,241655,Debit Card,3.64,4.8,Toyz
Flipkart Winter Sale in 2025,20/09/2025,Monsoon Sale,2025,515701.57,fashon,,unknown,7670,1,Email,8338000,,62.75,2.37,73282,Credit Card,9.78,2.68,Toys
Flipkart No Cost EMI Sale in 2021,11/10/2021,No Cost EMI Sale,2021,7849511.28,Toys,N/A,unknown,3232,5,Flipkart App,4184000,1.1,48.22,1.44,633807,Wallet,5.96,2.8,Headphones
Flipkart No Cost EMI Sale in 2020,26/06/2020,Festive Sale,2020,1121921.2,Groceries,,14866,3490,6,Instagram,4514000,4.24,41.18,3.5,517714,paytm,1.12,4.75,smrtphone
Flipkart Monsoon Sale in 2024,27/05/2024,Flash Sale,2024,7013127.22,electrnics,44.92,4526,4325,5,Email,7344000,2.1,63.12,3.75,463693,Debit Card,13.25,2.93,Laptop
Flipkart Deal of the Day in 2020,11/09/2020,No Cost EMI Sale,2020,9985623.14,Books,22.21,unknown,8206,4,Instagram,9727000,1.58,57.96,1.5,822977,Wallet,4.36,4.94,book
Flipkart Monsoon Sale in 2025,21/10/2025,Winter Sale,2025,3689944.19,,,unknown,2927,6,Twitter,9554000,1.33,75.82,1.93,837334,Wallet,5.61,4.09,Books
Flipkart Deal of the Day in 2025,04/07/2025,Clearance Sale,,7839688.52,Books,N/A,30145,268,2,FACEBOOK,5229000,1.98,56.54,3.45,635671,UPI,12.74,3.79,Shoes
Flipkart GOAT Sale in 2022,02/01/2022,No Cost EMI Sale,2022,9585632.9,Beauty,53.15,6036,8382,4,Twitter,6997000,1.65,54.8,4.06,348087,Credit card,12.43,2.9,
Flipkart Clearance Sale in 2021,05/07/2021,Flash Sale,2021,2617279.34,Books,61.84,unknown,9271,4,Whatsapp,9555000,2.75,70.05,3.75,677101,paytm,5.57,4.72,Toyz
Flipkart Big Billion Days Sale in 2022,2022-06-08,Winter Sale,2022,9485011.83,electrnics,N/A,unknown,1621,7,Instagram,5262000,0.76,73.82,4.84,289680,UPI,10.57,3.26,Toys
Flipkart Clearance Sale in 2024,04/11/2024,Monsoon Sale,2024,9681804.72,fashon,11.17,unknown,9502,2,FACEBOOK,9444000,2.58,36.9,4.1,455404,Credit Card,2.92,3.35,Toyz
Flipkart Big Billion Days Sale in 2024,03/11/2024,Summer Sale,2024,5996539.33,fashon,,unknown,9716,3,Flipkart App,1093000,0.24,15.43,0.83,193958,paytm,13.98,3.01,book
Flipkart Deal of the Day in 2021,09/10/2021,Big Billion Days Sale,2021,1504101.42,Toys,60.56,unknown,732,7,Twitter,2870000,4.44,32.91,0.66,810863,Credit card,3.82,4.77,smrtphone
Flipkart Flash Sale in 2025,19/11/2025,Clearance Sale,2025,237696.44,,,unknown,1815,3,Flipkart App,8496000,3.87,40.62,0.53,247624,UPI,4.99,4.9,book
Flipkart Clearance Sale in 2024,01/06/2024,GOAT Sale,2024,200063.27,Sports,,30460,4177,5,Whatsapp,9517000,3.7,16.21,2.03,905229,Wallet,2.84,3.08,Perfume
Flipkart Big Billion Days Sale in 2024,11/04/2024,Monsoon Sale,2024,6095449.9,Sports,N/A,unknown,1848,1,flipkart,3363000,2.21,53.44,0.52,666147,COD,3.98,2.58,smrtphone
Flipkart Big Billion Days Sale in 2021,28/02/2021,Flash Sale,2021,8378097.9,,51.97,1189,9766,4,Instagram,7375000,3.97,57.73,2.62,898782,COD,14.91,2.68,Toys
Flipkart No Cost EMI Sale in 2022,31/03/2022,Clearance Sale,2022,1969134.8,Home,,13817,5844,3,Flipkart App,6542000,0.47,55.51,1.1,460785,Wallet,10.34,2.64,Laptop
Flipkart Winter Sale in 2023,04/04/2023,Festive Sale,2023,3205788.16,Groceries,N/A,26100,6821,2,Whatsapp,4433000,1.42,41.41,1.56,47546,Wallet,12.15,3.17,Laptop
Flipkart No Cost EMI Sale in 2021,2021-09-11,Summer Sale,2021,9892201.91,Groceries,53.97,unknown,1134,6,FACEBOOK,2035000,0.79,18.3,1.45,524018,Credit Card,5.46,3.47,Books
Flipkart Winter Sale in 2022,07/06/2022,Summer Sale,2022,3014456.02,Fashion,51.17,8636,6055,6,FACEBOOK,8379000,0.29,36.62,1.92,388338,paytm,12.11,4.66,Books
Flipkart Big Billion Days Sale in 2022,20/02/2022,GOAT Sale,2022,,Sports,65.09,unknown,5362,1,Facebook,3855000,2.21,41.85,3.44,77512,COD,14.4,2.63,Toys
Flipkart Festive Sale in 2025,2025-09-10,Summer Sale,2025,8549626,Sports,20.99,36990,7995,4,Email,2712000,4.5,21.93,2.41,535781,UPI,6.03,4.39,Headphones
Flipkart Flash Sale in 2022,01/12/2022,Flash Sale,2022,2598577.67,Fashion,,unknown,1225,3,Flipkart App,2546000,4.84,19.37,0.63,783957,Cash on Delivery,2.58,3.26,Smartphone
Flipkart GOAT Sale in 2024,23/02/2024,GOAT Sale,2024,5503793.74,Toys,N/A,unknown,8673,2,Facebook,9828000,2.88,73.65,3.63,130731,Cash on Delivery,14.62,4.81,Toyz
Flipkart Deal of the Day in 2023,03/06/2023,Monsoon Sale,2023,1068458.52,Beauty,,25525,3429,6,Email,9501000,2,28.9,4.53,914003,UPI,2.41,3.1,Perfume
Flipkart Big Billion Days Sale in 2024,20/03/2024,Monsoon Sale,2024,2925529.62,Groceries,35.02,unknown,9358,5,flipkart,8976000,2.99,46.77,2.88,739689,Wallet,6.03,3.58,Laptop
Flipkart GOAT Sale in 2023,30/09/2023,GOAT Sale,2023,7525826.59,fashon,N/A,unknown,3234,4,FACEBOOK,5530000,3.76,79.74,1.64,911463,Cash on Delivery,14.47,2.86,Toyz
Flipkart No Cost EMI Sale in 2024,22/11/2024,Clearance Sale,2024,432385.46,,N/A,unknown,2218,7,FACEBOOK,7678000,0.47,78.5,4.66,53952,Debit Card,12.33,3.15,book
Flipkart Monsoon Sale in 2024,08/01/2024,Winter Sale,2024,4822217.44,Toys,,26803,575,7,flipkart,1271000,0.65,48.59,2.48,311472,Credit Card,2.66,3.11,Washing Machine
Flipkart Monsoon Sale in 2022,04/07/2022,Deal of the Day,2022,3948617.93,,,20382,1940,6,Whatsapp,2394000,4.55,24.13,1.45,176137,UPI,14.68,4.61,Perfume
Flipkart Winter Sale in 2024,28/09/2024,Winter Sale,2024,3817756.6,Sports,N/A,unknown,5087,3,Email,2059000,3.2,66.5,4.8,606232,UPI,12.8,3.86,Books
Flipkart Big Billion Days Sale in 2023,08/09/2023,GOAT Sale,2023,1408604.22,electrnics,,unknown,4519,2,Facebook,3798000,4.14,56.92,3.7,283662,COD,8.84,3.72,Headphones
Flipkart Big Billion Days Sale in 2025,05/06/2025,Summer Sale,2025,760455.15,Books,N/A,unknown,8734,6,Facebook,6991000,0.84,53.63,3.5,449184,paytm,7.14,2.64,Shoes
Flipkart Winter Sale in 2021,07/12/2021,Festive Sale,2021,2470159.71,,44.46,27953,6910,4,Flipkart App,4266000,0.54,76.13,1.5,349352,Credit card,3.04,4.71,Books
Flipkart Festive Sale in 2020,28/08/2020,Winter Sale,2020,2430306.7,electrnics,N/A,unknown,2605,1,Flipkart App,2345000,3.24,74.38,1.73,589421,UPI,12.39,3.52,Smartphone
Flipkart Monsoon Sale in 2022,21/11/2022,Flash Sale,2022,9006396.84,electrnics,N/A,unknown,5829,7,Facebook,5433000,1.12,47.38,2.21,739689,Wallet,3.21,4.58,Laptop
Flipkart GOAT Sale in 2022,21/05/2022,Winter Sale,2022,3746086.59,Toys,,22413,3832,5,Flipkart App,6937000,2.6,12,3.96,537872,UPI,2.2,2.57,Smartphone
Flipkart Winter Sale in 2025,09/11/2025,Winter Sale,2025,9647823.66,,,unknown,3606,5,Flipkart App,1026000,3.87,39.49,3.9,645019,Credit Card,10.28,2.86,Laptop
Flipkart Clearance Sale in 2020,12/07/2020,Deal of the Day,2020,2033762.77,Toys,59.38,unknown,2212,5,Whatsapp,6615000,2.31,58.72,1.41,296769,UPI,9.76,3.31,smrtphone
Flipkart Summer Sale in 2020,24/05/2020,Festive Sale,2020,,Toys,N/A,47205,971,1,Twitter,510000,0.98,33.06,0.78,443060,UPI,5.63,3.99,Washing Machine
Flipkart Summer Sale in 2022,08/12/2022,Big Billion Days Sale,2022,2019909.94,Home,,8889,3508,7,Email,6894000,4.85,67.06,0.91,937334,Cash on Delivery,1.39,4.96,book
Flipkart Big Billion Days Sale in 2025,08/03/2025,Winter Sale,2025,5778475.81,fashon,N/A,unknown,8842,2,Flipkart App,1985000,0.48,15.73,,87968,Cash on Delivery,8.76,3.75,Perfume
Flipkart Clearance Sale in 2024,30/03/2024,Summer Sale,2024,,Sports,N/A,29271,5824,7,Email,9778000,2.87,10.64,3.98,515829,UPI,3.16,2.73,Toys
Flipkart Festive Sale in 2025,16/02/2025,Deal of the Day,2025,,Sports,60.83,49615,2817,4,Email,7410000,2.25,57.26,3.18,471814,Credit Card,7.93,4.9,Toys
Flipkart Monsoon Sale in 2025,04/02/2025,Monsoon Sale,2025,,Home,N/A,45831,6850,4,FACEBOOK,3142000,0.61,15.26,1.54,204052,paytm,9.49,3.75,Perfume
Flipkart No Cost EMI Sale in 2025,17/10/2025,Big Billion Days Sale,2025,9088783.69,Toys,N/A,unknown,8172,1,FACEBOOK,9896000,4.12,18.14,4.28,25400,Debit Card,6.03,4.52,smrtphone
Flipkart Flash Sale in 2023,09/01/2023,Winter Sale,2023,9492172.97,Toys,,14266,7969,1,flipkart,4035000,1.85,,4.43,286482,Credit card,14.34,3.75,Headphones
Flipkart No Cost EMI Sale in 2021,2021-11-03,Festive Sale,2021,520384.57,Sports,N/A,31645,3281,2,Flipkart App,3309000,4.58,35.99,4.41,327618,COD,3.88,3.3,Laptop
Flipkart Winter Sale in 2024,18/08/2024,No Cost EMI Sale,2024,6888498.25,Fashion,,33609,3406,6,FACEBOOK,5380000,2.29,72.45,2.78,437285,Cash on Delivery,4.42,2.56,book
Flipkart Big Billion Days Sale in 2023,06/02/2023,GOAT Sale,2023,5288105.73,Books,11.74,4736,690,4,Flipkart App,6642000,1.47,28.83,3.25,645167,,4.07,4.24,Washing Machine
Flipkart GOAT Sale in 2025,2025-09-25,Clearance Sale,2025,,Electronics,N/A,unknown,8906,6,Twitter,1050000,2.82,69.98,3.1,414768,Debit Card,10.71,2.91,Washing Machine
Flipkart Flash Sale in 2020,2020-12-26,GOAT Sale,2020,6655474.65,electrnics,N/A,unknown,4042,7,Email,2556000,2.05,31.78,2.11,914549,UPI,1.86,3.83,Perfume
Flipkart Festive Sale in 2021,14/01/2021,Deal of the Day,2021,1967207.01,Groceries,,31261,314,3,Email,9896000,1.51,68.61,2.71,25407,Cash on Delivery,10.46,3.83,Books
Flipkart Big Billion Days Sale in 2022,25/10/2022,Clearance Sale,2022,2332207.34,fashon,20.75,12842,1311,5,Instagram,7544000,0.67,16.38,3.88,155778,Credit Card,,4.85,Shoes
Flipkart Summer Sale in 2025,23/05/2025,Big Billion Days Sale,2025,125119,electrnics,N/A,unknown,9308,6,Email,1066000,1.02,26.98,0.99,482687,Debit Card,1.64,3.3,Shoes
Flipkart Clearance Sale in 2021,07/08/2021,GOAT Sale,2021,3830854.65,Toys,20.56,unknown,1447,6,Email,1333000,3,31.49,1.56,33721,paytm,9.3,4.97,Toys
Flipkart GOAT Sale in 2020,16/07/2020,Big Billion Days Sale,2020,6702938.29,,61.22,unknown,2907,7,Instagram,9002000,1.96,34.11,3.2,26543,Credit Card,7.23,3.03,Perfume
Flipkart Winter Sale in 2021,10/10/2021,Festive Sale,2021,5713819.89,Home,N/A,unknown,173,7,Twitter,7007000,1.27,18.48,2.58,895907,Wallet,5.83,3.91,Headphones
Flipkart Deal of the Day in 2022,11/03/2022,No Cost EMI Sale,2022,3394967.65,Toys,,unknown,4193,7,flipkart,6683000,1.71,,3.65,509619,Cash on Delivery,9.79,4.75,Washing Machine
Flipkart Festive Sale in 2023,26/01/2023,Summer Sale,2023,5384356.73,Toys,,unknown,5590,5,FACEBOOK,3930000,3.05,58.44,3.46,185493,COD,13.76,3.95,Shoes
Flipkart Summer Sale in 2025,13/12/2025,Flash Sale,2025,1575263.73,Groceries,,12467,481,2,Facebook,6121000,3.18,69.92,3.83,155520,Cash on Delivery,3.75,4.01,Shoes
